Frequency,AGE,MonthlyIncome
Quatrly,48.0,21250.0
Quatrly,42.0,21579.0
Quatrly,39.0,20833.33
Quatrly,41.0,29166.67
Quatrly,50.0,48750.0
Quatrly,31.0,14166.67
Quatrly,31.0,50000.0
Monthly,55.0,8333.33
Quatrly,39.0,8333.33
Monthly,59.0,25000.0
Quatrly,40.0,62500.0
Quatrly,29.0,33333.33
Quatrly,39.0,44965.83
Monthly,25.0,26666.67
Quatrly,40.0,37500.0
Quatrly,37.0,44166.67
Quatrly,26.0,52500.0
Quatrly,31.0,12500.0
Quatrly,52.0,54416.67
Quatrly,39.0,25000.0
Quatrly,55.0,20833.33
Quatrly,28.0,12500.0
Monthly,38.0,16666.67
Monthly,35.0,20000.0
Monthly,31.0,16000.0
Monthly,36.0,20000.0
Monthly,31.0,29166.67
Monthly,28.0,20833.33
Monthly,55.0,20833.33
Monthly,30.0,25000.0
Monthly,33.0,100000.0
Monthly,45.0,25000.0
Monthly,35.0,15000.0
Monthly,28.0,15000.0
Monthly,20.0,22500.0
Monthly,32.0,32500.0
Monthly,24.0,1666.67
Monthly,23.0,16666.67
Monthly,37.0,27833.33
Monthly,41.0,18000.0
Monthly,32.0,34750.0
Monthly,53.0,20833.33
Monthly,37.0,16100.0
Monthly,48.0,29166.67
Monthly,21.0,5000.0
Monthly,33.0,12500.0
Monthly,45.0,1200.0
Monthly,42.0,15000.0
Monthly,35.0,22500.0
Monthly,35.0,16666.67
Monthly,53.0,14510.0
Quatrly,27.0,14666.67
Monthly,40.0,
Monthly,32.0,25000.0
Monthly,31.0,12500.0
Monthly,38.0,41666.67
Monthly,29.0,12000.0
Monthly,38.0,12500.0
Monthly,41.0,20833.33
Monthly,50.0,18000.0
Monthly,30.0,17500.0
Monthly,40.0,15209.08
Monthly,27.0,20000.0
Monthly,23.0,13833.33
Monthly,46.0,7350.0
Monthly,51.0,20000.0
Monthly,27.0,13333.33
Monthly,25.0,18000.0
Monthly,56.0,36349.33
Monthly,37.0,16666.67
Monthly,38.0,26666.67
Monthly,44.0,16666.67
Monthly,42.0,16000.0
Monthly,35.0,16666.67
Monthly,37.0,15000.0
Monthly,25.0,12500.0
Monthly,28.0,21500.0
Monthly,39.0,20833.33
Monthly,53.0,25000.0
Monthly,35.0,11166.67
Monthly,39.0,33333.33
Monthly,35.0,12000.0
Monthly,40.0,18000.0
Monthly,32.0,16666.67
Monthly,42.0,20833.33
Monthly,32.0,10333.33
Monthly,39.0,15000.0
Monthly,35.0,16666.67
Monthly,30.0,16666.67
Monthly,48.0,37500.0
Monthly,23.0,13333.33
Monthly,37.0,16666.67
Monthly,51.0,15333.33
Monthly,63.0,26750.0
Monthly,40.0,20833.33
Monthly,34.0,16666.67
Monthly,34.0,33333.33
Monthly,46.0,21666.67
Monthly,49.0,33333.33
Monthly,33.0,16666.67
Monthly,34.0,12000.0
Monthly,44.0,100000.0
Monthly,58.0,24578.0
Monthly,30.0,16666.67
Monthly,26.0,16666.67
Monthly,38.0,33333.33
Monthly,30.0,30000.0
Quatrly,41.0,20000.0
Monthly,33.0,20833.33
Monthly,26.0,21387.0
Monthly,56.0,36604.17
Monthly,41.0,20833.33
Monthly,27.0,25000.0
Monthly,31.0,21666.67
Monthly,47.0,25750.0
Monthly,45.0,12833.33
Monthly,28.0,29166.67
Monthly,38.0,20833.33
Monthly,39.0,20833.33
Monthly,36.0,58333.33
Monthly,32.0,20833.33
Monthly,45.0,12000.0
Monthly,35.0,20833.33
Monthly,39.0,29466.67
Monthly,24.0,4843.33
Monthly,52.0,20666.67
Monthly,58.0,25000.0
Monthly,42.0,13898.67
Monthly,44.0,17754.67
Monthly,26.0,13333.33
Monthly,51.0,18000.0
Monthly,33.0,23333.33
Monthly,19.0,14733.33
Monthly,41.0,20833.33
Monthly,51.0,18000.0
Monthly,81.0,17083.33
Monthly,44.0,11666.67
Monthly,54.0,20833.33
Monthly,75.0,144000.0
Monthly,40.0,20500.0
Monthly,41.0,16666.67
Monthly,28.0,31833.33
Monthly,33.0,18000.0
Monthly,24.0,16000.0
Monthly,32.0,20000.0
Monthly,48.0,20833.33
Monthly,43.0,28500.0
Monthly,33.0,18000.0
Monthly,33.0,23666.67
Monthly,29.0,41666.67
Monthly,40.0,14166.67
Monthly,59.0,20583.33
Monthly,22.0,12000.0
Monthly,43.0,25000.0
Monthly,38.0,20833.33
Monthly,42.0,15416.67
Monthly,27.0,21666.67
Monthly,26.0,16000.0
Monthly,48.0,29166.67
Monthly,30.0,20000.0
Monthly,50.0,16666.67
Monthly,31.0,18000.0
Monthly,32.0,13333.33
Monthly,34.0,20833.33
Monthly,46.0,20833.33
Monthly,24.0,18333.33
Monthly,34.0,16000.0
Monthly,51.0,20833.33
Monthly,33.0,15000.0
Monthly,19.0,16000.0
Monthly,35.0,16666.67
Monthly,34.0,16000.0
Monthly,43.0,12000.0
Monthly,40.0,16666.67
Monthly,56.0,150427.0
Monthly,33.0,25000.0
Monthly,39.0,30000.0
Monthly,46.0,29583.33
Monthly,42.0,16666.67
Monthly,47.0,18333.33
Monthly,36.0,37500.0
Monthly,28.0,34166.67
Monthly,51.0,16666.67
Monthly,44.0,9583.33
Monthly,39.0,16666.67
Monthly,59.0,14166.67
Monthly,57.0,27582.67
Monthly,26.0,15833.33
Monthly,38.0,16666.67
Monthly,36.0,16537.5
Monthly,42.0,12500.0
Monthly,43.0,66666.67
Monthly,51.0,20833.33
Monthly,30.0,10000.0
Monthly,35.0,25000.0
Monthly,27.0,15000.0
Monthly,39.0,18000.0
Monthly,62.0,19750.0
Monthly,37.0,16666.67
Monthly,38.0,38000.0
Monthly,32.0,13333.33
Monthly,29.0,13750.0
Monthly,58.0,32520.0
Monthly,53.0,38333.33
Monthly,27.0,26666.67
Monthly,51.0,20000.0
Monthly,45.0,16666.67
Monthly,34.0,10000.0
Monthly,35.0,16000.0
Monthly,38.0,23333.33
Monthly,36.0,23333.33
Monthly,39.0,31666.67
Monthly,45.0,23000.0
Monthly,39.0,25000.0
Monthly,51.0,15000.0
Monthly,49.0,15000.0
Monthly,46.0,17916.67
Monthly,31.0,29166.67
Monthly,52.0,18333.33
Monthly,53.0,15000.0
Monthly,36.0,37500.0
Monthly,23.0,16666.67
Monthly,52.0,20500.0
Monthly,42.0,33333.33
Quatrly,43.0,25500.0
Monthly,25.0,13881.08
Monthly,48.0,16666.67
Monthly,60.0,41250.0
Monthly,34.0,29333.33
Monthly,50.0,42666.67
Monthly,39.0,20833.33
Monthly,43.0,23333.33
Monthly,45.0,20833.33
Monthly,33.0,23000.0
Monthly,48.0,25000.0
Monthly,30.0,32500.0
Monthly,39.0,14500.0
Monthly,32.0,15000.0
Monthly,59.0,45833.33
Monthly,45.0,21666.67
Monthly,26.0,20833.33
Monthly,41.0,16666.67
Monthly,39.0,33333.33
Monthly,58.0,20833.33
Monthly,39.0,20833.33
Monthly,49.0,23333.33
Monthly,29.0,24983.33
Quatrly,35.0,25000.0
Quatrly,43.0,16666.67
Monthly,50.0,25000.0
Monthly,31.0,47250.0
Monthly,36.0,25000.0
Monthly,48.0,20833.33
Monthly,29.0,20833.33
Quatrly,27.0,15000.0
Monthly,41.0,17491.67
Monthly,54.0,26666.67
Monthly,60.0,20000.0
Monthly,37.0,41666.67
Quatrly,33.0,25000.0
Quatrly,50.0,28666.67
Monthly,30.0,17500.0
Monthly,29.0,22500.0
Monthly,45.0,27500.0
Monthly,49.0,19166.67
Monthly,,
Monthly,25.0,35688.67
Quatrly,55.0,23000.0
Monthly,37.0,25833.33
Monthly,56.0,40137.58
Quatrly,54.0,20833.33
Quatrly,21.0,31666.67
Monthly,61.0,15000.0
Quatrly,49.0,23000.0
Quatrly,57.0,44333.33
Monthly,50.0,43583.33
Monthly,26.0,40583.33
Monthly,39.0,50000.0
Quatrly,27.0,46000.0
Monthly,34.0,50000.0
Monthly,32.0,53250.0
Monthly,36.0,20833.33
Monthly,46.0,16666.67
Monthly,54.0,21250.0
Monthly,34.0,25000.0
Monthly,27.0,29166.67
Monthly,42.0,30416.67
Monthly,26.0,370000.0
Monthly,40.0,37500.0
Monthly,37.0,33333.33
Quatrly,39.0,27416.67
Quatrly,45.0,28833.33
Quatrly,40.0,33333.33
Quatrly,24.0,16666.67
Quatrly,40.0,21500.0
Monthly,38.0,20833.33
Monthly,47.0,41666.67
Monthly,35.0,41666.67
Monthly,35.0,41666.67
Monthly,35.0,41666.67
Monthly,48.0,33333.33
Monthly,36.0,41666.67
Monthly,22.0,41666.67
Monthly,26.0,19250.0
Quatrly,35.0,19666.67
Monthly,47.0,28166.67
Monthly,31.0,50871.33
Monthly,60.0,37500.0
Monthly,23.0,29166.67
Monthly,55.0,25000.0
Monthly,45.0,16666.67
Monthly,27.0,25000.0
Monthly,40.0,12600.0
Monthly,55.0,8333.33
Monthly,33.0,5000.0
Monthly,39.0,8333.33
Monthly,44.0,27750.0
Monthly,55.0,16666.67
Monthly,29.0,14458.33
Quatrly,57.0,27020.0
Quatrly,29.0,31833.33
Quatrly,23.0,12500.0
Quatrly,21.0,50000.0
Monthly,46.0,33333.33
Quatrly,23.0,16666.67
Monthly,31.0,37500.0
Monthly,28.0,20833.33
Monthly,47.0,18666.67
Quatrly,26.0,58333.33
Quatrly,26.0,58333.33
Monthly,34.0,5000.0
Monthly,36.0,25000.0
Monthly,24.0,6000.0
Monthly,39.0,20000.0
Quatrly,26.0,12500.0
Monthly,27.0,16666.67
BI-Monthly,51.0,18250.0
Monthly,26.0,25000.0
BI-Monthly,60.0,35000.0
BI-Monthly,33.0,12500.0
Monthly,33.0,8333.33
Monthly,27.0,8333.33
Monthly,37.0,10416.67
Monthly,38.0,16666.67
Quatrly,59.0,10000.0
Quatrly,42.0,25000.0
Quatrly,41.0,12500.0
Half Yearly,38.0,25000.0
Quatrly,43.0,16666.67
Quatrly,67.0,25000.0
Quatrly,50.0,25000.0
Monthly,36.0,125000.0
Quatrly,27.0,41666.67
Monthly,44.0,25000.0
Quatrly,45.0,29166.67
Quatrly,55.0,33333.33
Monthly,34.0,50000.0
Monthly,41.0,30216.67
Monthly,42.0,35833.33
Monthly,35.0,67118.17
Monthly,49.0,28000.0
Monthly,43.0,96666.67
Monthly,36.0,71250.0
Monthly,31.0,49875.0
Quatrly,35.0,6000.0
Quatrly,26.0,20833.33
Quatrly,33.0,29166.67
Quatrly,43.0,16666.67
Monthly,33.0,15000.0
Monthly,28.0,29166.67
Monthly,28.0,12500.0
Monthly,23.0,37500.0
Monthly,35.0,20833.33
Quatrly,25.0,58333.33
Quatrly,25.0,58333.33
Quatrly,21.0,12500.0
Monthly,28.0,23333.33
Quatrly,27.0,6666.67
Monthly,34.0,41666.67
BI-Monthly,21.0,12500.0
Monthly,45.0,12500.0
Monthly,44.0,37500.0
Quatrly,31.0,6666.67
Monthly,37.0,12500.0
BI-Monthly,37.0,16666.67
Monthly,34.0,24166.67
Monthly,40.0,20833.33
Monthly,53.0,30833.33
BI-Monthly,23.0,12500.0
Quatrly,33.0,16666.67
Quatrly,27.0,20833.33
Monthly,27.0,12500.0
Monthly,48.0,31666.67
Monthly,33.0,25000.0
Quatrly,35.0,18333.33
Monthly,51.0,12500.0
Monthly,36.0,25000.0
Quatrly,55.0,31250.0
Quatrly,29.0,10000.0
Monthly,24.0,10000.0
Monthly,33.0,12500.0
Monthly,52.0,12500.0
Monthly,29.0,25000.0
Monthly,36.0,23333.33
Monthly,56.0,16666.67
Monthly,46.0,12500.0
Monthly,38.0,151666.67
Monthly,44.0,12500.0
Monthly,39.0,24166.67
Monthly,51.0,12500.0
Monthly,30.0,16666.67
Monthly,37.0,22916.67
Monthly,26.0,16666.67
Monthly,37.0,15000.0
Monthly,59.0,16666.67
Monthly,31.0,62500.0
Monthly,24.0,20833.33
Quatrly,28.0,58333.33
Monthly,34.0,11666.67
Quatrly,30.0,12500.0
Quatrly,24.0,20833.33
Monthly,41.0,66666.67
Monthly,36.0,12500.0
Quatrly,32.0,20833.33
Monthly,48.0,50000.0
Monthly,32.0,25000.0
Monthly,20.0,20833.33
Quatrly,33.0,12500.0
Quatrly,54.0,32083.33
Quatrly,44.0,29166.67
Monthly,33.0,41666.67
Quatrly,24.0,37500.0
Quatrly,34.0,25000.0
Monthly,32.0,50000.0
Quatrly,30.0,35000.0
Quatrly,29.0,29166.67
Monthly,25.0,41666.67
Quatrly,40.0,50000.0
Quatrly,31.0,12750.0
Quatrly,41.0,39290.42
Monthly,29.0,85833.33
Quatrly,28.0,24950.0
Quatrly,22.0,29166.67
Quatrly,42.0,36600.0
Monthly,34.0,50559.17
Quatrly,50.0,24950.0
Quatrly,22.0,23333.33
Monthly,44.0,23333.33
Quatrly,37.0,27500.0
Quatrly,54.0,27500.0
Monthly,50.0,39166.67
Monthly,34.0,27083.33
Monthly,54.0,30000.0
Monthly,39.0,22916.67
Quatrly,49.0,27083.33
Monthly,49.0,30000.0
Quatrly,21.0,27083.33
Monthly,40.0,27500.0
Monthly,47.0,27500.0
Monthly,34.0,27500.0
Monthly,44.0,27500.0
Monthly,51.0,27500.0
Monthly,33.0,27500.0
Monthly,26.0,27500.0
Monthly,22.0,27500.0
Quatrly,46.0,27500.0
Monthly,37.0,43333.33
Monthly,32.0,27500.0
Monthly,23.0,29166.67
Monthly,45.0,27500.0
Monthly,56.0,27500.0
Monthly,55.0,29166.67
Monthly,33.0,75025.0
Monthly,58.0,28333.33
Monthly,47.0,27000.0
Monthly,46.0,52500.0
Monthly,38.0,28333.33
Monthly,60.0,27500.0
Monthly,30.0,36666.67
Monthly,55.0,23333.33
Monthly,31.0,27500.0
Quatrly,31.0,34225.0
Monthly,50.0,27500.0
Quatrly,49.0,133333.33
Quatrly,34.0,30000.0
Quatrly,27.0,27500.0
Quatrly,51.0,26666.67
Quatrly,33.0,53333.33
Monthly,47.0,45000.0
Quatrly,27.0,39500.0
Quatrly,55.0,33333.33
Monthly,30.0,29166.67
Monthly,35.0,5000.0
Monthly,20.0,11890.83
Monthly,49.0,22916.67
Monthly,38.0,20833.33
Monthly,28.0,10250.0
Monthly,35.0,17500.0
Monthly,36.0,11566.67
Monthly,49.0,10916.67
Monthly,40.0,12666.67
Monthly,27.0,16666.67
Monthly,37.0,20833.33
Monthly,55.0,25000.0
Monthly,36.0,20833.33
Monthly,26.0,33333.33
Monthly,25.0,33333.33
Monthly,32.0,16666.67
Monthly,44.0,25000.0
Monthly,30.0,35628.67
Monthly,54.0,20250.0
Half Yearly,61.0,25699.0
Monthly,20.0,16666.67
Monthly,30.0,33333.33
Monthly,26.0,16666.67
Monthly,42.0,16666.67
Monthly,24.0,16666.67
Monthly,51.0,33333.33
Monthly,27.0,33333.33
Monthly,33.0,11200.0
Monthly,58.0,49166.67
Monthly,54.0,40408.17
Monthly,43.0,33333.33
Monthly,24.0,25000.0
Monthly,30.0,16666.67
Monthly,21.0,12500.0
Monthly,32.0,16666.67
Monthly,27.0,14107.0
Monthly,19.0,16666.67
Monthly,45.0,25000.0
Monthly,41.0,25000.0
Monthly,56.0,25000.0
Monthly,53.0,25000.0
Monthly,27.0,25000.0
Monthly,41.0,25000.0
Monthly,36.0,16666.67
Monthly,43.0,29166.67
Monthly,50.0,16666.67
Monthly,48.0,28158.17
Monthly,47.0,29166.67
Monthly,51.0,16666.67
Monthly,43.0,25000.0
Monthly,27.0,25000.0
Monthly,44.0,33333.33
Monthly,36.0,25000.0
Monthly,31.0,37500.0
Monthly,34.0,25000.0
Monthly,50.0,25000.0
Monthly,37.0,25000.0
Monthly,37.0,29166.67
Monthly,,
Monthly,39.0,33333.33
Monthly,25.0,33333.33
Monthly,32.0,29166.67
Monthly,39.0,29166.67
Monthly,37.0,20833.33
Monthly,25.0,20833.33
Quatrly,45.0,20833.33
Monthly,60.0,41666.67
Monthly,37.0,25000.0
Monthly,48.0,42833.33
Monthly,26.0,16666.67
Quatrly,28.0,83333.33
BI-Monthly,56.0,41666.67
Quatrly,45.0,33333.33
Quatrly,21.0,33333.33
Monthly,56.0,50000.0
Monthly,30.0,98785.83
Monthly,44.0,16666.67
Monthly,28.0,33333.33
Monthly,41.0,14583.33
Monthly,41.0,20833.33
Monthly,42.0,25000.0
Monthly,40.0,12244.25
Monthly,53.0,17500.0
Monthly,39.0,20833.33
Monthly,26.0,18211.67
Monthly,41.0,12500.0
Monthly,32.0,45833.33
Monthly,39.0,
Quatrly,51.0,24081.0
Monthly,54.0,30919.67
Monthly,36.0,13354.17
Monthly,31.0,16666.67
Monthly,40.0,12287.5
Monthly,57.0,14166.67
Quatrly,57.0,20483.0
Monthly,44.0,16050.0
Quatrly,52.0,91250.0
Monthly,42.0,24701.42
Quatrly,40.0,36346.67
Monthly,44.0,20833.33
Monthly,41.0,66666.67
Monthly,27.0,26916.67
Monthly,29.0,20833.33
Monthly,34.0,25000.0
Quatrly,31.0,14000.0
Monthly,40.0,20833.33
Quatrly,34.0,24000.0
Monthly,28.0,25000.0
Quatrly,25.0,16666.67
Quatrly,28.0,17000.0
Monthly,33.0,24000.0
Monthly,36.0,15000.0
Monthly,26.0,20833.33
Monthly,55.0,34583.33
Quatrly,24.0,167500.0
Quatrly,51.0,23333.33
Monthly,30.0,33333.33
Monthly,51.0,20000.0
Monthly,44.0,16666.67
Monthly,35.0,16666.67
Monthly,41.0,29166.67
Monthly,24.0,12364.42
Monthly,28.0,20833.33
Monthly,26.0,10416.67
Monthly,59.0,23119.0
Monthly,55.0,20833.33
Monthly,45.0,23333.33
Monthly,49.0,20833.33
Monthly,28.0,108333.33
Monthly,30.0,23748.33
Monthly,57.0,24170.0
Monthly,30.0,16666.67
Monthly,34.0,29166.67
Monthly,37.0,25000.0
Monthly,33.0,12500.0
Monthly,26.0,25000.0
Monthly,58.0,41666.67
Monthly,48.0,33333.33
Quatrly,48.0,25000.0
Monthly,24.0,33333.33
Quatrly,51.0,32500.0
Monthly,32.0,8333.33
Monthly,,
Monthly,27.0,20833.33
Monthly,54.0,70000.0
Monthly,41.0,16666.67
Monthly,52.0,42500.0
Monthly,48.0,14166.67
Monthly,31.0,11666.67
Monthly,27.0,50000.0
Monthly,25.0,20833.33
Quatrly,37.0,16666.67
Monthly,34.0,22000.0
Monthly,37.0,16666.67
Monthly,33.0,20833.33
Monthly,41.0,16217.0
Monthly,30.0,20833.33
Quatrly,30.0,12500.0
Monthly,34.0,16666.67
Monthly,45.0,15000.0
Quatrly,56.0,16666.67
Monthly,27.0,51666.67
Quatrly,37.0,33333.33
Quatrly,49.0,33333.33
Quatrly,26.0,16666.67
Quatrly,28.0,25000.0
Monthly,43.0,16666.67
Quatrly,45.0,25000.0
Quatrly,35.0,25000.0
Quatrly,34.0,10000.0
Quatrly,38.0,24416.67
Monthly,47.0,55583.33
Monthly,,
Half Yearly,48.0,14416.67
Quatrly,32.0,47083.33
Quatrly,41.0,25916.67
Monthly,23.0,15000.0
Monthly,37.0,25000.0
Monthly,,
Quatrly,28.0,166666.67
Quatrly,23.0,18000.0
Quatrly,40.0,41666.67
Half Yearly,56.0,20833.33
Half Yearly,50.0,25000.0
Monthly,41.0,50000.0
Quatrly,44.0,8333.33
Quatrly,28.0,29166.67
Quatrly,50.0,22500.0
Quatrly,59.0,50875.0
Quatrly,45.0,73187.5
Quatrly,40.0,82000.0
Quatrly,26.0,64666.67
Quatrly,33.0,13616.67
Monthly,48.0,85666.67
Monthly,40.0,41479.17
Quatrly,22.0,47916.67
Quatrly,33.0,38750.0
Half Yearly,24.0,16666.67
Monthly,26.0,25000.0
Monthly,34.0,12500.0
Monthly,36.0,41666.67
Quatrly,32.0,65000.0
Monthly,34.0,41666.67
Quatrly,56.0,83333.33
Quatrly,22.0,42333.33
Quatrly,62.0,35250.0
Monthly,26.0,94166.67
Quatrly,24.0,12500.0
Quatrly,39.0,25000.0
Half Yearly,54.0,208333.33
Monthly,43.0,29166.67
Monthly,41.0,25000.0
Monthly,,
Monthly,39.0,35250.0
Quatrly,42.0,25000.0
Quatrly,46.0,37916.67
Quatrly,36.0,16666.67
Quatrly,32.0,20833.33
Quatrly,32.0,22500.0
Quatrly,31.0,22500.0
Monthly,41.0,20000.0
Monthly,30.0,30000.0
Quatrly,29.0,30000.0
Monthly,40.0,20000.0
Quatrly,33.0,20000.0
Monthly,27.0,25000.0
Monthly,28.0,20000.0
Monthly,27.0,9500.0
Monthly,35.0,13333.33
Monthly,,
Quatrly,42.0,16666.67
Monthly,,
Monthly,46.0,14833.33
Monthly,,
Monthly,55.0,22500.0
Monthly,28.0,33333.33
Monthly,32.0,20000.0
Monthly,37.0,16666.67
Monthly,29.0,29166.67
Monthly,48.0,34250.0
Monthly,46.0,24583.33
Monthly,56.0,27500.0
Monthly,55.0,33333.33
Monthly,58.0,83333.33
Monthly,43.0,25000.0
Monthly,43.0,25000.0
Monthly,,
Monthly,,
Quatrly,62.0,25000.0
Monthly,53.0,25000.0
Monthly,34.0,25000.0
Monthly,45.0,25000.0
Quatrly,24.0,30000.0
Quatrly,24.0,25000.0
Monthly,33.0,41666.67
Quatrly,43.0,25000.0
Monthly,34.0,20833.33
Monthly,45.0,125000.0
Quatrly,43.0,25000.0
Monthly,40.0,29166.67
Monthly,46.0,58333.33
Monthly,46.0,58333.33
Monthly,30.0,20833.33
Monthly,42.0,58333.33
Monthly,28.0,25000.0
Monthly,26.0,66666.67
Monthly,21.0,58333.33
Monthly,21.0,50000.0
Monthly,19.0,50000.0
Monthly,22.0,25000.0
Monthly,21.0,58333.33
Monthly,25.0,25000.0
Monthly,28.0,58333.33
Monthly,39.0,66666.67
Monthly,29.0,58333.33
Monthly,43.0,58333.33
Monthly,42.0,16666.67
Quatrly,37.0,45833.33
Monthly,46.0,66666.67
Monthly,58.0,15833.33
Monthly,50.0,32500.0
Monthly,39.0,19166.67
Quatrly,24.0,25000.0
Quatrly,28.0,25000.0
Monthly,53.0,16666.67
Monthly,24.0,16666.67
Monthly,47.0,58333.33
Quatrly,27.0,70833.33
Quatrly,35.0,37500.0
Quatrly,57.0,58333.33
Quatrly,41.0,50000.0
Quatrly,26.0,41666.67
Monthly,40.0,41666.67
Quatrly,56.0,38333.33
Monthly,29.0,29166.67
Monthly,59.0,80000.0
Monthly,30.0,41666.67
Quatrly,44.0,41666.67
Monthly,34.0,29166.67
Monthly,27.0,29166.67
Monthly,51.0,48333.33
Monthly,29.0,52000.0
Quatrly,43.0,35000.0
Quatrly,58.0,20833.33
Monthly,48.0,30833.33
Quatrly,24.0,16666.67
Quatrly,42.0,37500.0
Quatrly,27.0,13333.33
Monthly,22.0,13166.67
Monthly,50.0,16666.67
Monthly,25.0,14583.33
Monthly,56.0,12500.0
Monthly,53.0,16666.67
Monthly,27.0,15000.0
Monthly,44.0,20833.33
Monthly,26.0,18333.33
Monthly,49.0,18333.33
Monthly,57.0,21666.67
Monthly,51.0,16666.67
Monthly,27.0,16666.67
Monthly,41.0,36666.67
Monthly,26.0,33333.33
Monthly,68.0,29166.67
Monthly,30.0,33333.33
Monthly,20.0,16666.67
Monthly,53.0,37500.0
Monthly,43.0,21666.67
Quatrly,51.0,41666.67
Quatrly,45.0,22500.0
Quatrly,50.0,29166.67
Quatrly,22.0,25833.33
Quatrly,47.0,37500.0
Monthly,39.0,33333.33
Monthly,28.0,25000.0
Quatrly,37.0,31666.67
Quatrly,34.0,16666.67
Quatrly,37.0,16666.67
Quatrly,32.0,20000.0
Monthly,25.0,54166.67
Quatrly,30.0,66666.67
Monthly,39.0,58333.33
Monthly,23.0,39166.67
Monthly,32.0,66666.67
Monthly,23.0,41666.67
Monthly,22.0,25000.0
Monthly,47.0,50000.0
Quatrly,30.0,45833.33
Monthly,49.0,23333.33
Quatrly,53.0,83333.33
Quatrly,36.0,233333.33
Quatrly,63.0,50000.0
Half Yearly,42.0,25000.0
Quatrly,31.0,48333.33
Quatrly,29.0,41666.67
Monthly,30.0,50000.0
Quatrly,33.0,46666.67
Quatrly,24.0,37500.0
Monthly,,
Monthly,41.0,66666.67
Monthly,,
Quatrly,39.0,25000.0
Monthly,53.0,25000.0
BI-Monthly,25.0,158333.33
Quatrly,56.0,66666.67
Quatrly,40.0,33333.33
Monthly,38.0,50000.0
Monthly,27.0,50000.0
Monthly,28.0,66666.67
Quatrly,35.0,45833.33
Quatrly,48.0,33333.33
Quatrly,32.0,41666.67
Monthly,56.0,33333.33
Monthly,25.0,50000.0
Monthly,25.0,350000.0
Monthly,31.0,83333.33
Monthly,36.0,50000.0
Monthly,45.0,75000.0
Monthly,35.0,100000.0
Monthly,27.0,50000.0
Monthly,66.0,50000.0
Monthly,55.0,41666.67
Monthly,36.0,200000.0
Quatrly,47.0,66666.67
